ticker,company_name,sector,industry,market_cap,forward_pe,peg_ratio_clean,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,log_market_cap,growth_score,quality_score,revenue_growth_strong,earnings_growth_strong,roe_strong,low_debt,high_growth,return_5y
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,138978689024.0,14.022981,,0.16,0.384,,,1.198,25.65758644195604,0.544,0.0,0,1,0,0,False,0.8239143269860241
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,76162260992.0,21.9697,,0.12,-0.237,0.30233,27.698,1.16,25.056131914396946,-0.11699999999999999,2.0,0,0,1,0,False,-0.2922284224571292
T,AT&T Inc.,Communication Services,Telecom Services,186250346496.0,10.456871,,0.036,-0.056,0.18805,124.179,0.539,25.950357554590926,-0.020000000000000004,2.0,0,0,1,0,False,0.5846386115522495
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,11347575808.0,6.412468,,0.258,0.201,0.26902,363.379,1.149,23.152269972951142,0.459,4.0,1,0,1,0,False,-0.0674588870530834
AON,Aon plc,Financial Services,Insurance Brokers,68097937408.0,14.792917,,0.037,1.383,0.4694,168.318,0.825,24.944212761963314,1.42,2.0,0,1,1,0,False,0.388454027531296
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,44255682560.0,34.84243,,-0.057,-0.105,0.2393,3.28,1.205,24.513249619612903,-0.162,2.0,0,0,1,0,False,0.7295057269838721
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,18370338816.0,15.156375,,0.228,0.371,0.23401,46.765,0.516,23.63400318004255,0.599,4.0,1,1,1,0,False,1.8899754192204916
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,6718228480.0,8.909109,,0.128,0.099,0.10335,3.907,1.73,22.62809033782909,0.227,0.0,0,0,0,0,False,-0.7061646142959266
CRM,"Salesforce, Inc.",Technology,Software - Application,155409874944.0,11.136372,,0.121,0.179,0.123959996,29.947,1.288,25.76933181819566,0.3,0.0,0,0,0,0,False,-0.2718491740412762
TT,Trane Technologies plc,Industrials,Building Products & Equipment,103347011584.0,27.717745,,0.056,-0.005,0.36956,63.247,1.212,25.361358207174753,0.051000000000000004,2.0,0,0,1,0,False,1.9237057546880625
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,447531319296.0,44.87867,,0.215,0.455,0.29650998,60.257,0.978,26.827012359468192,0.67,4.0,1,1,1,0,False,1.934256261724676
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,61478359040.0,9.923568,,0.877,-0.573,0.14698,99.468,1.56,24.841951064320455,0.30400000000000005,2.0,1,0,0,0,False,1.5033638560265654
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,69061468160.0,-1652.6694,,-0.057,,0.02078,98.91,1.637,24.958262787891666,,0.0,0,0,0,0,False,-0.3440476372128441
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,29493983232.0,18.994999,,0.088,-0.801,0.15285,48.404,1.254,24.107452121286492,-0.7130000000000001,2.0,0,0,1,0,False,0.6635942641160437
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,13659022336.0,22.393913,,0.063,0.011,0.08901,17.355,0.921,23.337666117297843,0.074,0.0,0,0,0,0,False,-0.2802765119857686
BXP,"BXP, Inc.",Real Estate,REIT - Office,9410578432.0,25.491608,,-0.319,,0.04916,225.995,1.047,22.965100258686377,,0.0,0,0,0,0,False,-0.3439967036251636
FOXA,Fox Corporation,Communication Services,Entertainment,26461763584.0,12.086339,,0.02,-0.358,0.16823,67.389,0.505,23.99896664439476,-0.33799999999999997,2.0,0,0,1,0,False,0.7744071466291529
MCK,McKesson Corporation,Healthcare,Medical Distribution,106539409408.0,19.557465,,0.114,0.38,,,0.423,25.391780795046518,0.494,0.0,0,1,0,0,True,3.647441048485903
NWS,News Corporation,Communication Services,Entertainment,15675695104.0,22.965282,,0.055,-0.099,0.06329,30.892,0.924,23.47537726729878,-0.044000000000000004,0.0,0,0,0,0,False,0.2095390971938866
NFLX,"Netflix, Inc.",Communication Services,Entertainment,431760736256.0,26.32355,,0.176,0.327,0.42762002,63.782,1.669,26.791137420501315,0.503,2.0,0,1,1,0,False,0.8341107079024845
VMC,Vulcan Materials Company,Basic Materials,Building Materials,38615883776.0,27.322645,,0.032,-0.138,0.12972,57.785,1.095,24.376929525589073,-0.10600000000000001,0.0,0,0,0,0,False,0.7783543832158604
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,29028413440.0,13.490805,,-0.113,,0.22636999,126.012,0.432,24.09154096109538,,2.0,0,0,1,0,False,-0.190527667695692
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,24975929344.0,13.026336,,0.05,,0.21077,97.592,1.155,23.941178371799726,,2.0,0,0,1,0,False,-0.1816317638558117
NUE,Nucor Corporation,Basic Materials,Steel,42564239360.0,13.458486,,0.086,0.342,0.09361,32.765,1.745,24.474280286065202,0.42800000000000005,0.0,0,1,0,0,False,1.506870744685978
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,39829544960.0,24.620167,,0.106,-0.023,,,1.294,24.407874809545454,0.08299999999999999,0.0,0,0,0,0,False,0.2747274422672301
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,87497080832.0,38.010967,,0.197,0.026,0.12739,71.102,1.106,25.19487126784489,0.223,0.0,0,0,0,0,True,5.292559649003554
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,10044523520.0,15.634911,,0.06,1.157,0.1489,963.089,1.351,23.030293399643263,1.217,0.0,0,1,0,0,False,-0.120061777495568
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,19010441216.0,20.026066,,0.09,-0.058,0.11299,168.08,0.598,23.66825420290913,0.031999999999999994,0.0,0,0,0,0,False,0.603313972284494
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Auto Parts,78276960256.0,26.176256,,0.078,0.139,,,0.598,25.08351914705195,0.21700000000000003,0.0,0,0,0,0,False,1.707611447059311
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,10874664960.0,21.483805,,0.079,0.284,0.24284,3.109,0.718,23.109701605262668,0.363,2.0,0,1,1,0,False,0.0282376359762837
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,64579448832.0,10.531279,,0.035,0.234,0.20698999,28.917,0.522,24.891162067600913,0.269,2.0,0,0,1,0,False,1.174160643435446
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,18831321088.0,29.46072,,0.075,0.021,0.16855,10.271,1.151,23.658787335890523,0.096,2.0,0,0,1,0,False,-0.1087405533921167
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,52170969088.0,12.31949,,0.072,-0.068,0.20698999,119.711,1.467,24.67779202940719,0.00399999999999999,2.0,0,0,1,0,False,0.0830777016182811
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,16028253184.0,5.1600885,,0.05,,-0.21080999,99.91,0.822,23.497618826014314,,0.0,0,0,0,0,False,0.2688160136577908
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1297553424384.0,123.03811,,-0.031,-0.606,0.049250003,17.763,1.915,27.891501626001993,-0.637,0.0,0,0,0,0,False,0.5395780098187066
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,40504709120.0,89.04848,,0.214,0.101,0.0217,101.996,0.768,24.42468407889213,0.315,2.0,1,0,0,0,False,0.8417411680613625
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,24634097664.0,25.950005,,0.076,0.118,,,0.695,23.92739740410021,0.194,0.0,0,0,0,0,False,0.3121020220279757
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,29906083840.0,18.811327,,0.028,0.499,0.08157,131.147,0.68,24.121327769588383,0.527,0.0,0,1,0,0,False,0.6715692324856191
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,40926162944.0,10.321451,,0.026,-0.033,0.08207,187.043,0.343,24.435035376293456,-0.007000000000000003,0.0,0,0,0,0,False,0.6412015147121248
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,57409232896.0,16.881588,,1.489,,0.05929,63.804,0.23,24.77347097920077,,2.0,1,0,0,0,False,1.5141279175998936
LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,64974000128.0,57.69119,,0.655,,0.29275,392.476,1.391,24.89725302880612,,4.0,1,0,1,0,True,8.934265736839754
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,18833801216.0,15.354783,,-0.066,,-0.02559,46.884,1.032,23.658919029502638,,0.0,0,0,0,0,False,-0.3990263890003228
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,74757447680.0,28.761593,,0.062,0.146,0.21855,48.707,1.041,25.037514678782443,0.208,2.0,0,0,1,0,False,0.8707946474668731
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,12562743296.0,14.291708,,0.053,0.356,0.103870004,2.826,1.811,23.254001389503543,0.409,0.0,0,1,0,0,False,-0.7039962288727726
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,50186764288.0,15.747625,,0.03,0.061,0.65992,279.586,0.974,24.639017169298125,0.091,2.0,0,0,1,0,False,-0.2192822200212266
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,66480623616.0,21.260534,,0.058,0.097,-0.01667,101.991,0.808,24.920176367970065,0.155,0.0,0,0,0,0,False,0.1893799404360139
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,52896382976.0,19.957932,,-0.06,-0.978,0.10925,87.719,1.319,24.69160079874711,-1.038,0.0,0,0,0,0,False,0.5842434619126582
EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,50340216832.0,16.147667,,-0.011,-0.093,0.09936,174.488,0.505,24.64207013401419,-0.104,0.0,0,0,0,0,False,0.8368409190141193
COP,ConocoPhillips,Energy,Oil & Gas E&P,149119270912.0,16.132168,,-0.068,-0.39,0.12357,37.828,0.192,25.72801229860806,-0.458,0.0,0,0,0,0,False,1.852353973417104
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,58038927360.0,44.878193,,0.439,0.814,0.19734,10.131,1.794,24.7843797837613,1.253,4.0,1,1,1,0,False,1.8442687175537409
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,62252609536.0,21.982756,,0.003,-0.256,0.14552,35.255,0.898,24.85446629168569,-0.253,0.0,0,0,0,0,True,2.534024827833664
EQT,EQT Corporation,Energy,Oil & Gas E&P,36445114368.0,12.5028105,,0.269,0.546,0.09007,28.932,0.693,24.319073249901606,0.8150000000000001,2.0,1,1,0,0,True,2.627555272735371
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,341536964608.0,20.032402,,0.015,-0.054,0.31562,68.719,0.403,26.556721751999962,-0.039,2.0,0,0,1,0,False,0.2164913395086269
DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,166511706112.0,26.560778,,-0.111,-0.085,0.19566,376.022,0.992,25.838331450880474,-0.196,2.0,0,0,1,0,False,0.747532067945264
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,23805786112.0,34.016167,,0.037,-0.409,0.088879995,80.256,0.763,23.89319450206802,-0.372,0.0,0,0,0,0,False,0.0853092559703094
ASTS,"AST SpaceMobile, Inc.",Technology,Communication Equipment,36605865984.0,-634.2335,,27.313,,-0.30117,93.612,2.8,24.323474337325624,,2.0,1,0,0,0,True,8.606999969482422
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,77469958144.0,23.265778,,0.13,0.576,0.62078,176.813,1.446,25.07315606131642,0.706,2.0,0,1,1,0,False,0.4440412476251516
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,373190983680.0,17.78712,,-0.082,-0.238,0.07231,24.323,0.587,26.645356146144906,-0.32,0.0,0,0,0,0,False,1.247915717273694
