ticker;company_name;sector;industry;market_cap;current_price;forward_pe;trailing_pe;peg_ratio;revenue_growth;earnings_growth;return_on_equity;debt_to_equity;beta
NWS;News Corporation;Communication Services;Entertainment;15675695104.0;28.53;22.965282;37.05195;;55;-99;0.06329;30.892;924
NFLX;Netflix, Inc.;Communication Services;Entertainment;431760736256.0;101.79;26.32355;40.231228;;176;327;0.42762002;63.782;1.669
VMC;Vulcan Materials Company;Basic Materials;Building Materials;38615883776.0;295.725;27.322645;36.28528;;32;-138;0.12972;57.785;1.095
STZ;Constellation Brands, Inc.;Consumer Defensive;Beverages - Brewers;29028413440.0;166.74;13.490805;17.36875;;-113;;0.22636999;126.012;432
PPG;PPG Industries, Inc.;Basic Materials;Specialty Chemicals;24975929344.0;111.6;13.026336;16.127167;;0.05;;0.21077;97.592;1.155
NUE;Nucor Corporation;Basic Materials;Steel;42564239360.0;186.87;13.458486;24.816732;;86;342;0.09361;32.765;1.745
MSCI;MSCI Inc.;Financial Services;Financial Data & Stock Exchanges;39829544960.0;542.09;24.620167;34.59413;;106;-23;;;1.294
PWR;Quanta Services, Inc.;Industrials;Engineering & Construction;87497080832.0;584.7976;38.010967;85.87337;;197;26;0.12739;71.102;1.106
MGM;MGM Resorts International;Consumer Cyclical;Resorts & Casinos;10044523520.0;36.725;15.634911;48.32237;;0.06;1.157;0.1489;963.089;1.351
LNT;Alliant Energy Corporation;Utilities;Utilities - Regulated Electric;19010441216.0;73.605;20.026066;23.441084;;0.09;-58;0.11299;168.08;598
ORLY;O'Reilly Automotive, Inc.;Consumer Cyclical;Auto Parts;78276960256.0;93.355;26.176256;31.432661;;78;139;;;598
JKHY;Jack Henry & Associates, Inc.;Technology;Information Technology Services;10874664960.0;150.25;21.483805;21.556673;;79;284;0.24284;3.109;718
TRV;The Travelers Companies, Inc.;Financial Services;Insurance - Property & Casualty;64579448832.0;298.65;10.531279;10.883746;;35;234;0.20698999;28.917;522
WST;West Pharmaceutical Services, Inc.;Healthcare;Medical Instruments & Supplies;18831321088.0;261.25;29.46072;38.419117;;75;21;0.16855;10.271;1.151
NXPI;NXP Semiconductors N.V.;Technology;Semiconductors;52170969088.0;206.46;12.31949;25.937187;;72;-68;0.20698999;119.711;1.467
VTRS;Viatris Inc.;Healthcare;Drug Manufacturers - Specialty & Generic;16028253184.0;13.765;5.1600885;;;0.05;;-0.21080999;99.91;822
