ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,return_5y,high_growth
EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,27877908480.0,227.51,9.910038,23.191639,,0.114,-0.273,0.48672,254.692,1.332,0.3136311134161376,False
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,30118764544.0,28.175,9.550847,10.795019,,0.038,-0.034,0.10217,62.679,0.728,0.27931503058496365,False
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,14627739648.0,24.36,8.095364,17.781023,,1.234,0.192,0.13193,75.28,1.629,5.137852807529028,True
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,81730609152.0,145.35,20.335583,35.625004,,0.041,0.049,0.09646,69.283,1.278,0.7523391197695837,False
IONQ,"IonQ, Inc.",Technology,Computer Hardware,10559592448.0,28.72,-31.490881,,,4.285,,-0.24400999,0.787,2.803,1.6137806547289926,False
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,370546212864.0,791.8,28.5225,42.09463,,0.18,-0.114,0.43526,206.67,1.519,2.762305445097417,True
GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,12259101696.0,208.9,19.979073,77.37037,,-0.116,,0.06283,52.479,1.786,-0.3677854875021648,False
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,15659641856.0,23.22,26.751152,28.317072,,0.032,-0.068,0.055370003,78.678,1.051,0.4859193462929996,False
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,67038392320.0,127.475,18.8287,28.264965,,-0.137,-0.359,0.12922,81.937,1.064,1.4612952261088736,False
XYZ,"Block, Inc.",Technology,Software - Infrastructure,37584080896.0,61.85,13.100954,29.452381,,0.036,-0.939,0.060100004,40.444,2.613,-0.7633479854257421,False
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,31602098176.0,114.23,19.723188,21.351402,,-0.088,0.195,0.11337,147.125,0.533,0.6421187463384002,False
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,401619124224.0,246.33,22.804934,94.74231,,0.341,2.171,0.07082,6.359,1.963,1.9729481921165566,False
MMM,3M Company,Industrials,Conglomerates,79652839424.0,151.23,16.09974,25.205,,0.02,-0.199,0.75501,276.638,1.158,0.0934945589447469,False
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,54832136192.0,211.36,8.30941,5.550972,,0.051,1.032,0.39518002,25.091,0.224,1.0383026157607822,False
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,584898445312.0,1489.585,33.421116,51.66788,,0.049,0.072,0.50458,23.916,1.382,1.4574147229576502,False
INTC,Intel Corporation,Technology,Semiconductors,316549595136.0,63.045,62.80446,,,-0.041,,0.00022,37.282,1.349,0.008160973039565755,False
AXP,American Express Company,Financial Services,Credit Services,216297144320.0,315.02,15.635802,20.482445,,0.106,0.166,0.33992,190.921,1.133,1.2677377534276273,False
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,98103386112.0,68.26,17.235895,44.907898,,-0.015,0.477,0.13946,34.103,1.473,1.1378566905341123,False
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,28143116288.0,58.31,9.504606,12.787281,,0.049,0.221,0.15158,7.819,0.976,-0.21494408995725267,False
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,53763870720.0,117.44,23.8074,30.035805,,0.079,-0.208,0.10774,181.79,0.565,1.7824575649165761,False
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,89751617536.0,221.985,10.712135,13.3806505,,0.096,0.291,0.12158,,0.956,0.47556620460537813,False
IVZ,Invesco Ltd.,Financial Services,Asset Management,10556890112.0,23.76,7.986716,,,0.062,,-0.01219,17.161,1.634,0.11147029078631299,False
EIX,Edison International,Utilities,Utilities - Regulated Electric,29202814976.0,75.87,11.642682,6.5688314,,0.308,4.463,0.24103001,215.738,0.767,0.6101907369161301,False
MET,"MetLife, Inc.",Financial Services,Insurance - Life,48949059584.0,74.29,6.792241,15.772824,,0.276,-0.342,0.12020001,225.974,0.733,0.39685582811087805,False
AAPL,Apple Inc.,Technology,Consumer Electronics,3843949854720.0,261.5301,28.041162,33.147034,,0.157,0.183,1.5202099,102.63,1.109,1.0196630570062806,False
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,22994276352.0,65.31,14.853781,116.62499,,0.051,-0.762,0.012560001,46.039,0.434,-0.0055641074141304925,False
